Tweet_Number,Positive,Negative,Neutral
0,,"I am sending so much love to you, hoping you’re ok and as well and happy as you can be in these strange times. And… ",": Trans women pose no threat to cis women, but we pose a threat to them if we make them outcasts | Rebecca Solnit ",In the mean time please assume no news from me just means I’m quietly spending the pandemic the way most people are… 
1,,If I have news - I promise I’ll share it with you.,": ""Prior to the Covid-19 outbreak, as far as disability and inclusion was concerned, the industry was very much broken. And now we’r…",Three Lessons From Adrienne Maree Brown's 'Emergent Strategy' | Colorlines 
2,,"Dear Fans, 
Rumours about whether I’m engaged or not, or whether my career is “dormant or not” are ways to create c… ",: ALLFIE outraged as  announces plan to create more special schools: “Our Government must stop shutting Disabled people o…,": Watch the new music video for “Brown Skin Girl” by : 
 
BlackIsKing is now streaming on Di…"
3,,"_App: You asked, we listened. Discover ethical and sustainable BIPOC owned clothing brands from around the globe. Let's celebr…",": We signed this statement with     &amp; others demanding government: 

📢 Lifts the No Recourse to P…",": For just the third time in U.S. history, a woman will be a major party’s VP nominee. We won’t let the media’s sexist polit…"
4,,: Polish opposition members of parliament coordinated their outfits on Thursday to create a rainbow flag for President Andrz…,": We are facing the 'decriminalisation of rape', warns ⁦⁩ in her first annual report - hope Government sits up &amp; list…",: Meet some of those calling to PressReset: _Pearson / _Dryden /  /  /  / _edge
5,,": It’s time to PressReset, it’s time to change how industry engages with disabled talent behind and in front of the camera BFIIndu…","_ayub: 🚨PERSONAL ANNOUNCEMENT🚨

Im humbled to announce I am a recipient of the  Diana Award 2020 for my work on ending violence ag…",": I've been plotting alongside Rebecca Solnit,  and  launch a public history project - reimagining ’…"
6,,": Today, the SistersNotStrangers coalition publish new research on how refugee women have survived during the pandemic. W…","_: Today, we're launching our petition demanding that social media companies show that Black Lives Matter online too - by provi…",: I did this interview in response to topping the UK book charts this week.
7,,": We are SO excited to announce we are working with , Rebecca Solnit &amp;  to support their public history…",": ""Selective amnesia about their own imperial legacy leads ineluctably to a false sense of superiority around racism among ma…","_: Today, with , we are launching a survey to explore the gendered online impact of Covid-19. Complete the survey now an…"
8,,": Over the past 18 months, FRIDA staff have engaged in a deep reflection process on the technology we use &amp; today, we publishe…",: Listen to Black ppl &amp; Black Muslims &amp; activists&gt;&gt;&gt; but iv compiled a resource ill keep updating esp for south asians (b…,": Blown away by the reviews for 
 ⭐️⭐️⭐️⭐️
    ⭐️⭐️⭐️⭐️
 ⭐️⭐️⭐️⭐️
&amp;  gav…"
9,,": The DEC is launching an urgent appeal to help people living in refugee camps and fragile states face coronavirus, which is l…",: 3/4 TBH365 is aimed at  and builds on decades of lobbying and petitioning to include Black history ac…,:  
10,,": A friendly reminder that sisters are slaying the summer. Enjoy their storytelling as we head into a new weekend!

- I May Destroy…",": 1/4 The Black Curriculum, like the entire world has watched the horrific events of the last few weeks. These, alongsid…","I donate to _Gender and . If you can, perhaps you’ll feel inclined to do the same. ❤️"
11,,"_Women: At the current rate of progress, it will take up to 100 years before we reach gender equality at a global level.

Today, on o…",: The govt's review into ethnic disparities in Covid_19 serious illness &amp; deaths is out. Only 11 out of 89 pages (mostly graph…,": ""Statues aren't about remembering history. They are about memorialisation.""  in our debate on statues in 20…"
12,,: Many patients seeking abortion in Louisiana can breath a sigh of relief. Your ability to access abortion shouldn’t be determined…,": REST IN POWER GEORGE FLOYD 🌹✊🏽 THE UK IS NOT INNOCENT!
We MUST SayTheirNames &amp; we MUST learn their stories. The …","
A playlist of podcasts, writing, analysis and discussion that have helped me understand sys… "
13,,: I wrote about ‘Three ways for UK schools to improve their race relations now’  ,": A thread of books exploring racism and race. It includes fiction, poetry, non-fiction because we need to hear many voices…",: 23 Phenomenal Young Adult Books by Black Authors from the First Half of 2020 |  
14,,": We're live! Sorry for the delay, but we're now up and running at:  Join us  for our opening sessio…",": If you're not sure how to talk about issues of race in America, try picking up one of the many incredible books about race inst…",": This is not ""a crisis”. What black people are experiencing the world over is a system that finds our bodies expendable, by…"
15,,: You can support our call to TeachRaceMigrationEmpire and a *funded centre* for teacher training by writing to your MP…,"_podcast: Do you know the stories of India Kager, Michelle Cusseaux, Shelly Frey, Kayla Moore &amp; Korryn Gaines? All were killed by t…",": John Boyega: ""Every black person here remembered when another person reminded you that you were black…I need you to understand…"
16,,Happy PRIDE2020 Sending love x,": For 8 minutes and 46 seconds, we will go dark in tribute to GeorgeFloyd. We dedicate this time to the victims of police…",": Wherever you are, at 6pm on Wednesday 3 June, TakeTheKnee +/ hold a sign on your doorstep to say BlackLivesMatter, Ju…"
17,,"I want my trans followers to know that I and so many other people around the world see you, respect you and love you for who you are.",_Women: A deadly shadow pandemic of violence against women &amp; girls is surging in the wake of COVID19. Kate Winslet joins forces with…,": Breonna Taylor. 
Aiyana Stanley-Jones. 
Tanisha Anderson. 
Yvette Smith. 
Rekia Boyd. 
Natasha McKenna. 
Sandra Bland. 
Kin…"
18,,Trans people are who they say they are and deserve to live their lives without being constantly questioned or told… ,": Together with  we're proud to launch our crisis accommodation project for abused women in London, especially…",: Afghanistan's all-girl robotics team make ventilators out of car parts 
19,,": _rowling Hi everyone, just a quick note to say that if you'd like to donate to organisations that support black trans wom…",: We are dealing with dualpandemics. Violence against women &amp; girls and COVID-19 cause the disproportionate impact of structural…,": On IDAHOBIT, we're standing with LGBTIQ+ people and their rights to have equal access to healthcare services and to…"
20,,": “Self-education is an essential part of any anti-racist journey, and reading has always been a huge part of my personal l…",": Saudi women's rights activist Loujain al-Hathloul was jailed after campaigning for women to drive. Two years on, her sister plead…",": We have published our briefing - The Impact of COVID 19 on Disabled Women from Sisters of Frida, Voices of Disabled women in…"
21,,: Today we take the time to listen &amp; educate ourselves for blackouttuesday. We've created a list of documentaries that h…,": Together with     , we demand the immediate and uncondition…",: This International Nurses' Day marks the 200th anniversary of Florence Nightingale’s birth. Here’s how she paved the way for the…
22,,_g: Here’s an open doc of UK black-led racial justice orgs doing year-round work. Let me know of others &amp; let’s support ,: Home is not a safe place for many women and children. Frontline services need an urgent injection of cash to cope with…,"As a member of the G7 GEAC, I call on governments to apply a gender lens to COVID19. Girls &amp; women must be front… "
23,,": 4/4 Follow this link to support the campaign:  

Steps include:
1) Writing to Gavin 
2) Donatin…","If you or someone you know is at risk of or experiencing DomesticViolence in the UK, isolation advice does NOT app… ",: We're launching an emergency response fund TODAY. Help raise £ for grassroots women's orgs now. These are the services wo…
24,,: 2/4 Our campaign is focused on changing the UK’s national curriculum - to include Black lived experiences and contribu…,What's needed from UK gov? Abuse experts feeding into COBRA planning. Emergency funding for charities protecting &amp;… ,": 𝒟𝑒𝒶𝓇 𝒻𝓇𝒾𝑒𝓃𝒹, 𝐼 𝒶𝓂 𝓌𝓇𝒾𝓉𝒾𝓃𝑔 𝓉𝑜 𝓎𝑜𝓊 𝒷𝑒𝒸𝒶𝓊𝓈𝑒 𝒯𝒽𝑒 𝒫𝑒𝓇𝓀𝓈 𝑜𝒻 𝐵𝑒𝒾𝓃𝑔 𝒶 𝒲𝒶𝓁𝓁𝒻𝓁𝑜𝓌𝑒𝓇 𝒾𝓈 𝓃𝑜𝓌 𝑜𝓃 𝒩𝑒𝓉𝒻𝓁𝒾𝓍. "
25,,": Thanks for sharing our reading list thread. We hope you'll buy &amp; read the authors. 

Anti-racist education starts early so…",: The Weinstein trial reveals why UK courts fail to prosecute rape - EVAW in The Guardian on the long road disrupting ideas about…,": More than a century after women first competed at the Olympic Games, female athlete numbers will finally be at parity with th…"
